Event Title,Organization,Location,Date/Time
Softball Practice,Sports Club - Softball,South Campus Field,09/16/2023 - 12:00 PM
Cadence With Care,Campus Y,Siteman Cancer Center,09/18/2023 - 2:35 AM
Student Group Leader Training - Required Make Up,Campus Life,Online,09/27/2023 - 1:32 PM
Casual Practice / Learn to Play!,WU Bridge Club,BD (Bear's Den) Private Dining Room,09/27/2023 - 8:00 PM
LM Society Faculty Dinners,Lowry and Moore Society,"Per dinner, up to faculty",10/01/2023 - 12:00 AM
Black Anthology Advertisement Sales,Black Anthology,N/a,10/01/2023 - 9:25 PM
Niños and Cambios Tutoring,Niños Cambios Puertas,"906 Eichelberger St, St. Louis, MO 63111",10/03/2023 - 4:00 PM
Tea Ceremony (Chakai),Asian-Pacific American Medical Student Association,Missouri Botanical Garden Tea Hut,10/07/2023 - 5:00 AM
Practice,Sports Club - Golf,Ruth Park Golf Course and Forest Park Golf Course,10/12/2023 - 5:30 PM
Mens Club Water Polo Tournament,Sports Club - Men's Water Polo,"Grand Haven High School, Grand Haven, Michigan",10/13/2023 - 10:00 AM
Boiler Breakaway,Sports Club - Women's Ultimate,"Fair Oaks Farms (856 N 600 E, Fair Oaks, IN 47943)",10/13/2023 - 2:00 PM
Boiler Breakaway,Sports Club - Men's Ultimate,"Fair Oaks Farms (856 N 600 E, Fair Oaks, IN 47943)",10/13/2023 - 4:00 PM
Texas A&M Invitational,Sports Club - Men's Basketball,"College Station, Texas",10/13/2023 - 4:00 PM
DSP Lead School,Delta Sigma Pi,"Marriott Atlanta Perimeter Center, Atlanta, GA",10/13/2023 - 5:00 PM
Fall 2023 UIUC Open,Sports Club - Badminton,University of Illinois Urbana-Champaign,10/14/2023 - 8:00 AM
Hack WashU Hackathon,Hack WashU,Urbauer/Lopata/Wrighton 300,10/14/2023 - 8:00 AM
Weekly Practice,Sports Club - Sailing,Creve Coeur Lake,10/14/2023 - 1:00 PM
TSO 10/10 Banquet,Taiwanese Students Organization,"TechArtista Downtown, 401 Pine Street, St. Louis, MO 63102",10/14/2023 - 5:00 PM
The Gung Ho! Revolution Film Festival,In the Lou Programming,St. Louis Central Library,10/14/2023 - 5:00 PM
WUAA Blender Workshop,WashU Animation Association,Weil 010,10/14/2023 - 5:00 PM
Frights and Heights,In the Lou Programming,Gateway Arch National Park,10/14/2023 - 6:30 PM
Dai Practice (Saturdays),WashU Standing Drums,DUC 233 (Oct 14) and Women's Dance Studio (rest of semester),10/14/2023 - 7:00 PM
Dreams of Lost Memories,In the Lou Programming,Bayless High School Theater,10/14/2023 - 7:00 PM
BMC @ TopGolf,Black Men's Coalition,"16851 N Outer 40 Rd. Chesterfield, MO",10/15/2023 - 9:00 AM
Brunch Theatre,Thyrsus - Theatrical Exploration Group,DUC 233,10/15/2023 - 11:00 AM
Diwali Fashion Show practices,Ashoka,Women's Building - Women's Bldg Olin Dance Studio 1,10/15/2023 - 1:00 PM
SPACE SUNdays,Spartan Light Metal Products Makerspace,Jubel Hall 138 (Danforth Campus),10/15/2023 - 1:30 PM
Zach Porter Memorial Wiffleball Tournament,Sigma Nu Gamma Omicron,Mudd Field,10/15/2023 - 2:00 PM
St. Louis Street Food Festival,In the Lou Programming,Ballpark Village,10/15/2023 - 2:00 PM
Suite Sunday,Pride Alliance,Pride Suite -- Women's Building,10/15/2023 - 3:00 PM
Bowling!,Bowling Club,Clocktower (or Tropicana Lanes),10/15/2023 - 3:00 PM
Candice Ivory at the National Blues Museum,In the Lou Programming,National Blues Museum,10/15/2023 - 4:00 PM
Ronald McDonald House,Alpha Phi Omega,Ronald McDonald House,10/15/2023 - 4:30 PM
SPB General and Exec Board Meeting,Social Programming Board,DUC 233,10/15/2023 - 6:00 PM
UNICEF Exec Meeting,Washington University chapter of UNICEF,DUC 248,10/15/2023 - 6:00 PM
HHM Last Hurrah,The Association of Latin American Students,Risa Commons,10/15/2023 - 6:30 PM
Civic Action Week,Gephardt Institute for Civic and Community Engagement,Across campus,10/16/2023 - 9:00 AM
"Civic Action Week: Care as Protest: Screen-printing, food, and togetherness",Gephardt Institute for Civic and Community Engagement,Jordan Plaza at Sam Fox,10/16/2023 - 9:00 AM
Civic Action Week: A Choose-Your-Own-Adventure Game: Community-Engaged Practice,Gephardt Institute for Civic and Community Engagement,Weil Hall Commons at Sam Fox,10/16/2023 - 10:00 AM
Divestment Rally,Green Action,DUC Courtyard,10/16/2023 - 12:00 PM
