"","Course ID","Course Title","Course Credits","Section","Day","Time","Building","Instructor","Final Exam","Seats","Enroll","WaitList"
"0","L90 AFAS 1046","Wolof Language and Culture II","3.0 Units","01","M-W----","1:00P-2:20P","McMillan / 219   ","DIALLO","Paper/Project/Take Home","10","0","0"
"1","L90 AFAS 104D","Beginning Swahili II","5.0 Units","01","MT-R---","11:30A-12:50P","TBA","Mutonya","Paper/Project/Take Home","15","0","0"
"2","L90 AFAS 1130","Introduction to Race","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Bailey, Parikh, Parsons","No Final","120","0","0"
"3","L90 AFAS 2045","The Writer as Witness: Mourning and Memory in the African Novel","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Mbatha","Paper/Project/Take Home","15","0","0"
"4","L90 AFAS 204D","Intermediate Swahili IV","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Mutonya","Paper/Project/Take Home","10","0","0"
"5","L90 AFAS 3062","Islam, Culture and Society in West Africa","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","DIALLO","Paper/Project/Take Home","15","0","0"
"6","L90 AFAS 306B","Africa: Peoples and Cultures","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Ross","Paper/Project/Take Home","40","0","0"
"7","L90 AFAS 3117","Capitalism, Socialism and Labor: The Political Economy of 20th Century Africa","3.0 Units","01","M-W----","5:00P-6:20P","TBA","Parsons","Paper/Project/Take Home","15","0","0"
"8","L90 AFAS 3152","Jazz in American Culture","3.0 Units","01","-T-R---","1:00P-2:20P","Music Cls Bldg / 102   ","Eldridge Stewart","No Final","25","0","0"
"9","L90 AFAS 3254","African Americans and Children's Literature","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Early","Paper","15","0","0"
"10","L90 AFAS 3255","Black Masculinities","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Manditch-Prottas","Paper/Project/Take Home","15","0","0"
"11","L90 AFAS 330S","Topics in Gender & Am Culture:Native Sons & Daughters:Gender, Sexuality and African-American Culture","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Manditch-Prottas","Paper/Project/Take Home","19","0","0"
"12","L90 AFAS 3430","West African Music and Dance in Context","2.0 Units","01","M-W----","11:30A-12:50P","(None) /       ","Claude, Bathily","May  7 2024 10:30AM - 12:30PM","15","0","0"
"13","L90 AFAS 395C","African Civilization: 1800 to the Present","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Parsons","No Final","15","0","0"
"14","L90 AFAS 401","Senior Seminar","3.0 Units","01","--W----","3:00P-5:50P","TBA","Parikh","No Final","20","0","0"
"15","L90 AFAS 4103","Black Decolonial Thought: Conceptualizing Epistemic Violence from Frantz Fanon to Achille Mbembe","3.0 Units","01","M-W----","10:00A-11:20A","TBA","DIALLO","Paper","15","0","0"
"16","L90 AFAS 4110","The Black South Atlantic","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Mundell","Paper/Project/Take Home","15","0","0"
"17","L90 AFAS 4215","Mediated Blackness: A Black Studies Approach to Digital Methods","3.0 Units","01","M-W----","10:00A-11:20A","TBA","Lloyd","Paper/Project/Take Home","15","0","0"
"18","L90 AFAS 423B","Topics in American Literature: Popular Music and American Literature from Rag to Rap","3.0 Units","01","M-W----","10:00A-11:20A","TBA","Maxwell","No Final","15","0","0"
"19","L90 AFAS 4601","Historical Racial Violence: Legacies & Reckonings","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Ward","Paper/Project/Take Home","20","0","0"
"20","L90 AFAS 4890","Catholicism and Slavery","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Schmidt","Paper/Project/Take Home","20","0","0"
"21","L90 AFAS 5103","Black Decolonial Thought: Conceptualizing Epistemic Violence from Frantz Fanon to Achille Mbembe","3.0 Units","01","M-W----","10:00A-11:20A","TBA","DIALLO","Paper","15","0","0"
"22","L90 AFAS 5601","Historical Racial Violence: Legacies & Reckonings","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Ward","Paper/Project/Take Home","20","0","0"
"23","L56 CFH 400W","Merle Kling Undergraduate Honors Fellowship Seminar","3.0 Units","01","-T-----","4:00P-6:50P","TBA","Kirk, Perez, Mattern","No Final","14","0","0"
"24","L56 CFH 429G","The Unruly City","3.0 Units","01","----F--","1:00P-3:50P","TBA","Allen","Default - none","12","0","0"
"25","L81 EALC 227","Chinese Civilization","3.0 Units","01","M-W----","9:00A-9:50A","TBA","Ma","Paper/Project/Take Home","80","0","0"
"26","L81 EALC 227","Chinese Civilization","3.0 Units","A","----F--","9:00A-9:50A","TBA","[TBA]","No Final","20","0","0"
"27","L81 EALC 227","Chinese Civilization","3.0 Units","B","----F--","9:00A-9:50A","TBA","[TBA]","No Final","20","0","0"
"28","L81 EALC 227","Chinese Civilization","3.0 Units","C","----F--","10:00A-10:50A","TBA","[TBA]","No Final","20","0","0"
"29","L81 EALC 227","Chinese Civilization","3.0 Units","D","----F--","10:00A-10:50A","TBA","[TBA]","No Final","20","0","0"
"30","L81 EALC 2980","Undergraduate Internship in East Asian Languages and Cultures","Var. Units (max = 3.0)","01","TBA","","TBA","[TBA]","No Final","0","0","0"
"31","L81 EALC 3166","A History of Modern China","3.0 Units","01","M-W----","10:00A-10:50A","TBA","Kuzuoglu","Paper/Project/Take Home","40","0","0"
"32","L81 EALC 3166","A History of Modern China","3.0 Units","A","---R---","9:00A-9:50A","TBA","[TBA]","Paper/Project/Take Home","20","0","0"
"33","L81 EALC 3166","A History of Modern China","3.0 Units","B","---R---","3:00P-3:50P","TBA","[TBA]","Paper/Project/Take Home","20","0","0"
"34","L81 EALC 3211","Contemporary Chinese Popular Culture","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Chen, Jianqing","Paper/Project/Take Home","25","0","0"
"35","L81 EALC 3211","Contemporary Chinese Popular Culture","3.0 Units","A","M------","7:00P-9:00P","TBA","Chen, Jianqing","No Final","25","0","0"
"36","L81 EALC 3270","Topics in East Asian Performance Cultures: Gender in East Asian Theatre and Performance","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Ma, Yan","Paper/Project/Take Home","15","0","0"
"37","L81 EALC 333","The Modern Voice in Japanese Literature","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Copeland, Wei","Paper/Project/Take Home","25","0","0"
"38","L81 EALC 342","Modern and Contemporary Chinese Literature","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Chen, L","Paper/Project/Take Home","45","0","0"
"39","L81 EALC 3510","Pleasure, Amusement, and Play: Entertainment Culture in Premodern China","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Chen, Jiayi","Paper/Project/Take Home","25","0","0"
"40","L81 EALC 355","Topics in Korean Literature and Culture: Buddhist Culture of Korea","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Poletto","Paper/Project/Take Home","19","0","0"
"41","L81 EALC 3650","Topics in Modern Korean Literature: The Korean Wave: Reading Korea through Popular Culture and Media","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Lee, W","Paper/Project/Take Home","19","0","0"
"42","L81 EALC 3900","EALC Seminar: East Asian Buddhism: Chan/Son/Zen","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Poletto","Paper/Project/Take Home","0","0","0"
"43","L81 EALC 425","Topics in Religion and Culture in East Asia: Women, Confucianism and Buddhism in East Asia","3.0 Units","01","-T-----","3:00P-5:50P","TBA","Poletto","Paper/Project/Take Home","15","0","0"
"44","L81 EALC 450","Masterworks of Early Japanese Literature: The Tale of Genji and its Afterlives","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Newhard","Paper/Project/Take Home","15","0","0"
"45","L81 EALC 455","Topics in Korean Literature and Culture: Global Korean Music through a Cultural Lens","3.0 Units","01","--W----","3:00P-5:50P","TBA","Lee, W","Paper/Project/Take Home","12","0","0"
"46","L81 EALC 4750","Worldviews, World-Building, and World Literature: New Approaches to Chinese Literature (1500-1900)","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Chen, Jiayi","Paper/Project/Take Home","15","0","0"
"47","L81 EALC 525","Topics in Religion and Culture in East Asia: Women, Confucianism and Buddhism in East Asia","3.0 Units","01","-T-----","3:00P-5:50P","TBA","Poletto","Paper/Project/Take Home","15","0","0"
"48","L81 EALC 5750","Worldviews, World-Building, and World Literature: New Approaches to Chinese Literature (1500-1900)","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Chen, Jiayi","Paper/Project/Take Home","15","0","0"
"49","L81 EALC 591","Thesis Research","Var. Units (max = 6.0)","01","TBA","","(None) /       ","[TBA]","See Instructor","0","0","0"
"50","L81 EALC 591","Thesis Research","Var. Units (max = 6.0)","02","TBA","","(None) /       ","[TBA]","See Instructor","0","0","0"
"51","L81 EALC 592","Dissertation Research","Var. Units (max = 6.0)","01","TBA","","(None) /       ","[TBA]","See Instructor","0","0","0"
"52","L81 EALC 592","Dissertation Research","Var. Units (max = 6.0)","02","TBA","","(None) /       ","[TBA]","See Instructor","0","0","0"
"53","L97 GS 1133","Ampersand: Legacies of the Silk Road","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Reynolds","Paper","20","0","0"
"54","L97 GS 1300","The Art of Medicine","3.0 Units","01","-T-----","2:30P-4:20P","TBA","Messbarger, Olynyk","Paper/Project/Take Home","75","0","0"
"55","L97 GS 1300","The Art of Medicine","3.0 Units","A","---R---","2:30P-3:20P","TBA","[TBA]","No Final","15","0","0"
"56","L97 GS 1300","The Art of Medicine","3.0 Units","B","---R---","3:30P-4:20P","TBA","[TBA]","No Final","15","0","0"
"57","L97 GS 1300","The Art of Medicine","3.0 Units","C","---R---","2:30P-3:20P","TBA","[TBA]","No Final","15","0","0"
"58","L97 GS 1300","The Art of Medicine","3.0 Units","D","---R---","3:30P-4:20P","TBA","[TBA]","No Final","15","0","0"
"59","L97 GS 1300","The Art of Medicine","3.0 Units","E","---R---","2:30P-3:20P","TBA","[TBA]","No Final","15","0","0"
"60","L97 GS 1640","Health and Disease in World History","3.0 Units","01","M-W----","11:00A-11:50A","TBA","Ramos","May  7 2024 10:30AM - 12:30PM","80","0","0"
"61","L97 GS 1640","Health and Disease in World History","3.0 Units","A","----F--","11:00A-11:50A","TBA","Ramos","See Instructor","20","0","0"
"62","L97 GS 1640","Health and Disease in World History","3.0 Units","B","----F--","12:00P-12:50P","TBA","Ramos","See Instructor","20","0","0"
"63","L97 GS 1640","Health and Disease in World History","3.0 Units","C","----F--","2:00P-2:50P","TBA","Ramos","See Instructor","20","0","0"
"64","L97 GS 1640","Health and Disease in World History","3.0 Units","D","----F--","3:00P-3:50P","TBA","Ramos","See Instructor","20","0","0"
"65","L97 GS 227C","Chinese Civilization","3.0 Units","01","M-W----","9:00A-9:50A","TBA","Ma","Paper/Project/Take Home","80","0","0"
"66","L97 GS 227C","Chinese Civilization","3.0 Units","A","----F--","9:00A-9:50A","TBA","[TBA]","No Final","20","0","0"
"67","L97 GS 227C","Chinese Civilization","3.0 Units","B","----F--","9:00A-9:50A","TBA","[TBA]","No Final","20","0","0"
"68","L97 GS 227C","Chinese Civilization","3.0 Units","C","----F--","10:00A-10:50A","TBA","[TBA]","No Final","20","0","0"
"69","L97 GS 227C","Chinese Civilization","3.0 Units","D","----F--","10:00A-10:50A","TBA","[TBA]","No Final","20","0","0"
"70","L97 GS 263","Democracies & Dictatorships in the Middle East","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Warren","No Final","50","0","0"
"71","L97 GS 3008","Topics in Global Studies: Modern Indian Literature","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Jha","Paper","15","0","0"
"72","L97 GS 3020","Global Futures","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Heath-Carpentier","Paper/Project/Take Home","40","0","0"
"73","L97 GS 3042","Making Sex and Gender: Understanding the History of the Body","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Cislo","Paper/Project/Take Home","0","0","0"
"74","L97 GS 3064","Nation and Desire in Latin America","3.0 Units","01","M------","4:00P-6:50P","TBA","Moraña","No Final","20","0","0"
"75","L97 GS 306B","Africa: Peoples and Cultures","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Ross","Paper/Project/Take Home","40","0","0"
"76","L97 GS 3074","Hinduism & the Hindu Right","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Adcock","Paper/Project/Take Home","15","0","0"
"77","L97 GS 3130","Topics in English and American Literature","3.0 Units","01","M-W----","8:30A-9:50A","TBA","Thompson","No Final","15","0","0"
"78","L97 GS 3132","Introduction to Comparative Arts","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Kita","Project","19","0","0"
"79","L97 GS 3142","Topics in Lit: Turn and Face the Strange: Alienation & Transformation in Modern Lit & Contemp Music","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Finneran","No Final","20","0","0"
"80","L97 GS 3169","A History of Modern China","3.0 Units","01","M-W----","10:00A-10:50A","TBA","Kuzuoglu","Paper/Project/Take Home","40","0","0"
"81","L97 GS 3169","A History of Modern China","3.0 Units","A","---R---","9:00A-9:50A","TBA","[TBA]","Paper/Project/Take Home","20","0","0"
"82","L97 GS 3169","A History of Modern China","3.0 Units","B","---R---","3:00P-3:50P","TBA","[TBA]","Paper/Project/Take Home","20","0","0"
"83","L97 GS 3184","A Rainbow Thread: A History of Queer Identities in Judaism and Islam","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Jay","Project","15","0","0"
"84","L97 GS 3214","Contemporary Chinese Popular Culture","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Chen, Jianqing","Paper/Project/Take Home","25","0","0"
"85","L97 GS 3214","Contemporary Chinese Popular Culture","3.0 Units","A","M------","7:00P-9:00P","TBA","Chen, Jianqing","No Final","25","0","0"
"86","L97 GS 3215","Food, Culture and Power","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Richardson","Paper/Project/Take Home","35","0","0"
"87","L97 GS 321C","Introduction to Colonial Latin America until 1825","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Ramos","Paper/Project/Take Home","30","0","0"
"88","L97 GS 3230","Sex Trafficking","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Nichols","Paper/Project/Take Home","0","0","0"
"89","L97 GS 3283","Introduction to Global Health","3.0 Units","01","M-W-F--","12:00P-12:50P","TBA","Hores","May  8 2024 10:30AM - 12:30PM","350","0","0"
"90","L97 GS 3313","Women and Islam","3.0 Units","01","M------","3:00P-5:50P","McMillan / G057  ","Beck","No Final","11","0","0"
